REGION,FUEL,YEAR,VALUE
RE1,CONSGSL,2053,25.43297297862126
RE1,CONSGSL,2054,26.36638815585105
RE1,CONSGSL,2055,26.36638815585105
RE1,CONSNGS,2022,0.1090321931093702
RE1,CONSNGS,2023,0.08177414487463
RE1,CONSNGS,2024,0.0830825310224671
RE1,CONSNGS,2025,0.0828007129965043
RE1,CONSNGS,2026,0.0857418415726369
RE1,CONSNGS,2027,0.0888740435942575
RE1,CONSNGS,2028,0.0921214034581628
RE1,CONSNGS,2029,0.0954950230221269
RE1,CONSNGS,2030,0.0989784554175769
RE1,CONSNGS,2031,0.1025741210963102
RE1,CONSNGS,2032,0.1063089269769892
RE1,CONSNGS,2033,0.1101898691454745
RE1,CONSNGS,2034,0.114210513648976
RE1,CONSNGS,2035,0.118409009640766
RE1,CONSNGS,2036,0.122762169127485
RE1,CONSNGS,2037,0.1272753926142546
RE1,CONSNGS,2038,0.1319552574022456
RE1,CONSNGS,2039,0.1368080117679448
RE1,CONSNGS,2040,0.1418400213441021
RE1,CONSNGS,2041,0.1470579324729091
RE1,CONSNGS,2042,0.1524659343520271
RE1,CONSNGS,2043,0.1580737675741958
RE1,CONSNGS,2044,0.1638888450507753
RE1,CONSNGS,2045,0.1699188556596828
RE1,CONSNGS,2046,0.176171774467087
RE1,CONSNGS,2047,0.1826559834953458
RE1,CONSNGS,2048,0.1893777867248584
RE1,CONSNGS,2049,0.1963449280156875
RE1,CONSNGS,2050,0.2035696519518199
RE1,CONSNGS,2051,0.2110615617718483
RE1,CONSNGS,2052,0.218830579719169
RE1,CONSNGS,2053,0.2268868499134919
RE1,CONSNGS,2054,0.2352138209444104
RE1,CONSNGS,2055,0.2352138209444104
RE1,COQDSL,2022,0.097
RE1,COQDSL,2023,0.121
RE1,COQDSL,2024,0.123
RE1,COQDSL,2025,0.123
RE1,COQDSL,2026,0.123
RE1,COQDSL,2027,0.123
RE1,COQDSL,2028,0.123
RE1,COQDSL,2029,0.123
RE1,COQDSL,2030,0.123
RE1,COQDSL,2031,0.123
RE1,COQDSL,2032,0.123
RE1,COQDSL,2033,0.123
RE1,COQDSL,2034,0.123
RE1,COQDSL,2035,0.123
RE1,COQDSL,2036,0.123
RE1,COQDSL,2037,0.123
RE1,COQDSL,2038,0.123
RE1,COQDSL,2039,0.123
RE1,COQDSL,2040,0.123
RE1,COQDSL,2041,0.123
RE1,COQDSL,2042,0.123
RE1,COQDSL,2043,0.123
RE1,COQDSL,2044,0.123
RE1,COQDSL,2045,0.123
RE1,COQDSL,2046,0.123
RE1,COQDSL,2047,0.123
RE1,COQDSL,2048,0.123
RE1,COQDSL,2049,0.123
RE1,COQDSL,2050,0.123
RE1,COQDSL,2051,0.123
RE1,COQDSL,2052,0.123
RE1,COQDSL,2053,0.123
RE1,COQDSL,2054,0.123
RE1,COQDSL,2055,0.123
RE1,COQGSL,2022,0.004
RE1,COQGSL,2023,0.004
RE1,COQGSL,2024,0.004
RE1,COQGSL,2025,0.004
RE1,COQGSL,2026,0.004
RE1,COQGSL,2027,0.004
RE1,COQGSL,2028,0.004
RE1,COQGSL,2029,0.004
RE1,COQGSL,2030,0.004
RE1,COQGSL,2031,0.004
RE1,COQGSL,2032,0.004
RE1,COQGSL,2033,0.004
RE1,COQGSL,2034,0.004
RE1,COQGSL,2035,0.004
RE1,COQGSL,2036,0.004
RE1,COQGSL,2037,0.004
RE1,COQGSL,2038,0.004
RE1,COQGSL,2039,0.004
RE1,COQGSL,2040,0.004
RE1,COQGSL,2041,0.004
RE1,COQGSL,2042,0.004
RE1,COQGSL,2043,0.004
RE1,COQGSL,2044,0.004
RE1,COQGSL,2045,0.004
RE1,COQGSL,2046,0.004
RE1,COQGSL,2047,0.004
RE1,COQGSL,2048,0.004
RE1,COQGSL,2049,0.004
RE1,COQGSL,2050,0.004
RE1,COQGSL,2051,0.004
RE1,COQGSL,2052,0.004
RE1,COQGSL,2053,0.004
RE1,COQGSL,2054,0.004
RE1,COQGSL,2055,0.004
RE1,CSP,2022,0.0
RE1,CSP,2023,0.0
RE1,CSP,2024,0.0
RE1,CSP,2025,0.0
RE1,CSP,2026,0.0
RE1,CSP,2027,0.0
RE1,CSP,2028,0.0
RE1,CSP,2029,0.0
RE1,CSP,2030,0.0
RE1,CSP,2031,0.0
RE1,CSP,2032,0.0
RE1,CSP,2033,0.0
RE1,CSP,2034,0.0
RE1,CSP,2035,0.0
RE1,CSP,2036,0.0
RE1,CSP,2037,0.0
RE1,CSP,2038,0.0
RE1,CSP,2039,0.0
RE1,CSP,2040,0.0
RE1,CSP,2041,0.0
RE1,CSP,2042,0.0
RE1,CSP,2043,0.0
RE1,CSP,2044,0.0
RE1,CSP,2045,0.0
RE1,CSP,2046,0.0
RE1,CSP,2047,0.0
RE1,CSP,2048,0.0
RE1,CSP,2049,0.0
RE1,CSP,2050,0.0
RE1,CSP,2051,0.0
RE1,CSP,2052,0.0
RE1,CSP,2053,0.0
RE1,CSP,2054,0.0
RE1,CSP,2055,0.0
RE1,DAM,2022,0.0
RE1,DAM,2023,0.0
RE1,DAM,2024,0.0
RE1,DAM,2025,0.0
RE1,DAM,2026,0.0
RE1,DAM,2027,0.0
RE1,DAM,2028,0.0
RE1,DAM,2029,0.0
RE1,DAM,2030,0.0
RE1,DAM,2031,0.0
RE1,DAM,2032,0.0
RE1,DAM,2033,0.0
RE1,DAM,2034,0.0
RE1,DAM,2035,0.0
RE1,DAM,2036,0.0
RE1,DAM,2037,0.0
RE1,DAM,2038,0.0
RE1,DAM,2039,0.0
RE1,DAM,2040,0.0
RE1,DAM,2041,0.0
RE1,DAM,2042,0.0
RE1,DAM,2043,0.0
RE1,DAM,2044,0.0
RE1,DAM,2045,0.0
RE1,DAM,2046,0.0
RE1,DAM,2047,0.0
RE1,DAM,2048,0.0
RE1,DAM,2049,0.0
RE1,DAM,2050,0.0
RE1,DAM,2051,0.0
RE1,DAM,2052,0.0
RE1,DAM,2053,0.0
RE1,DAM,2054,0.0
RE1,DAM,2055,0.0
RE1,DSL,2022,0.0
RE1,DSL,2023,0.0
RE1,DSL,2024,0.0
RE1,DSL,2025,0.0
RE1,DSL,2026,0.0
RE1,DSL,2027,0.0
RE1,DSL,2028,0.0
RE1,DSL,2029,0.0
RE1,DSL,2030,0.0
RE1,DSL,2031,0.0
RE1,DSL,2032,0.0
RE1,DSL,2033,0.0
RE1,DSL,2034,0.0
RE1,DSL,2035,0.0
RE1,DSL,2036,0.0
RE1,DSL,2037,0.0
RE1,DSL,2038,0.0
RE1,DSL,2039,0.0
RE1,DSL,2040,0.0
RE1,DSL,2041,0.0
RE1,DSL,2042,0.0
RE1,DSL,2043,0.0
RE1,DSL,2044,0.0
RE1,DSL,2045,0.0
RE1,DSL,2046,0.0
RE1,DSL,2047,0.0
RE1,DSL,2048,0.0
RE1,DSL,2049,0.0
RE1,DSL,2050,0.0
RE1,DSL,2051,0.0
RE1,DSL,2052,0.0
RE1,DSL,2053,0.0
RE1,DSL,2054,0.0
RE1,DSL,2055,0.0
RE1,DSL002,2022,0.0
RE1,DSL002,2023,0.0
RE1,DSL002,2024,0.0
RE1,DSL002,2025,0.0
RE1,DSL002,2026,0.0
RE1,DSL002,2027,0.0
RE1,DSL002,2028,0.0
RE1,DSL002,2029,0.0
RE1,DSL002,2030,0.0
RE1,DSL002,2031,0.0
RE1,DSL002,2032,0.0
RE1,DSL002,2033,0.0
RE1,DSL002,2034,0.0
RE1,DSL002,2035,0.0
RE1,DSL002,2036,0.0
RE1,DSL002,2037,0.0
RE1,DSL002,2038,0.0
RE1,DSL002,2039,0.0
RE1,DSL002,2040,0.0
RE1,DSL002,2041,0.0
RE1,DSL002,2042,0.0
RE1,DSL002,2043,0.0
RE1,DSL002,2044,0.0
RE1,DSL002,2045,0.0
RE1,DSL002,2046,0.0
RE1,DSL002,2047,0.0
RE1,DSL002,2048,0.0
RE1,DSL002,2049,0.0
RE1,DSL002,2050,0.0
RE1,DSL002,2051,0.0
RE1,DSL002,2052,0.0
RE1,DSL002,2053,0.0
RE1,DSL002,2054,0.0
RE1,DSL002,2055,0.0
RE1,ELC,2022,0.0
RE1,ELC,2023,0.0
RE1,ELC,2024,0.0
RE1,ELC,2025,0.0
RE1,ELC,2026,0.0
RE1,ELC,2027,0.0
RE1,ELC,2028,0.0
RE1,ELC,2029,0.0
RE1,ELC,2030,0.0
RE1,ELC,2031,0.0
RE1,ELC,2032,0.0
RE1,ELC,2033,0.0
RE1,ELC,2034,0.0
RE1,ELC,2035,0.0
RE1,ELC,2036,0.0
RE1,ELC,2037,0.0
RE1,ELC,2038,0.0
RE1,ELC,2039,0.0
RE1,ELC,2040,0.0
RE1,ELC,2041,0.0
RE1,ELC,2042,0.0
RE1,ELC,2043,0.0
RE1,ELC,2044,0.0
RE1,ELC,2045,0.0
RE1,ELC,2046,0.0
RE1,ELC,2047,0.0
RE1,ELC,2048,0.0
RE1,ELC,2049,0.0
RE1,ELC,2050,0.0
RE1,ELC,2051,0.0
RE1,ELC,2052,0.0
RE1,ELC,2053,0.0
RE1,ELC,2054,0.0
RE1,ELC,2055,0.0
RE1,ELC002,2022,0.0
RE1,ELC002,2023,0.0
RE1,ELC002,2024,0.0
RE1,ELC002,2025,0.0
RE1,ELC002,2026,0.0
RE1,ELC002,2027,0.0
RE1,ELC002,2028,0.0
RE1,ELC002,2029,0.0
RE1,ELC002,2030,0.0
RE1,ELC002,2031,0.0
RE1,ELC002,2032,0.0
RE1,ELC002,2033,0.0
RE1,ELC002,2034,0.0
RE1,ELC002,2035,0.0
RE1,ELC002,2036,0.0
RE1,ELC002,2037,0.0
RE1,ELC002,2038,0.0
RE1,ELC002,2039,0.0
RE1,ELC002,2040,0.0
RE1,ELC002,2041,0.0
RE1,ELC002,2042,0.0
RE1,ELC002,2043,0.0
RE1,ELC002,2044,0.0
RE1,ELC002,2045,0.0
RE1,ELC002,2046,0.0
RE1,ELC002,2047,0.0
RE1,ELC002,2048,0.0
RE1,ELC002,2049,0.0
RE1,ELC002,2050,0.0
RE1,ELC002,2051,0.0
RE1,ELC002,2052,0.0
RE1,ELC002,2053,0.0
RE1,ELC002,2054,0.0
RE1,ELC002,2055,0.0
RE1,ELC003,2022,0.0
RE1,ELC003,2023,0.0
RE1,ELC003,2024,0.0
RE1,ELC003,2025,0.0
RE1,ELC003,2026,0.0
RE1,ELC003,2027,0.0
RE1,ELC003,2028,0.0
RE1,ELC003,2029,0.0
RE1,ELC003,2030,0.0
RE1,ELC003,2031,0.0
RE1,ELC003,2032,0.0
RE1,ELC003,2033,0.0
RE1,ELC003,2034,0.0
RE1,ELC003,2035,0.0
RE1,ELC003,2036,0.0
RE1,ELC003,2037,0.0
RE1,ELC003,2038,0.0
RE1,ELC003,2039,0.0
RE1,ELC003,2040,0.0
RE1,ELC003,2041,0.0
RE1,ELC003,2042,0.0
RE1,ELC003,2043,0.0
RE1,ELC003,2044,0.0
RE1,ELC003,2045,0.0
RE1,ELC003,2046,0.0
RE1,ELC003,2047,0.0
RE1,ELC003,2048,0.0
RE1,ELC003,2049,0.0
RE1,ELC003,2050,0.0
RE1,ELC003,2051,0.0
RE1,ELC003,2052,0.0
RE1,ELC003,2053,0.0
RE1,ELC003,2054,0.0
RE1,ELC003,2055,0.0
RE1,ELCZNI,2022,0.0
RE1,ELCZNI,2023,0.0
RE1,ELCZNI,2024,0.0
RE1,ELCZNI,2025,0.0
RE1,ELCZNI,2026,0.0
RE1,ELCZNI,2027,0.0
RE1,ELCZNI,2028,0.0
RE1,ELCZNI,2029,0.0
RE1,ELCZNI,2030,0.0
RE1,ELCZNI,2031,0.0
RE1,ELCZNI,2032,0.0
RE1,ELCZNI,2033,0.0
RE1,ELCZNI,2034,0.0
RE1,ELCZNI,2035,0.0
RE1,ELCZNI,2036,0.0
RE1,ELCZNI,2037,0.0
RE1,ELCZNI,2038,0.0
RE1,ELCZNI,2039,0.0
RE1,ELCZNI,2040,0.0
