REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMCOQGSL,2051,99999.0
RE1,DEMCOQGSL,2052,99999.0
RE1,DEMCOQGSL,2053,99999.0
RE1,DEMCOQGSL,2054,99999.0
RE1,DEMCOQGSL,2055,99999.0
RE1,DEMDERHDG,2022,2.159999999999999
RE1,DEMDERHDG,2023,2.16
RE1,DEMDERHDG,2024,2.16
RE1,DEMDERHDG,2025,2.16
RE1,DEMDERHDG,2026,2.16
RE1,DEMDERHDG,2027,4.319999999999999
RE1,DEMDERHDG,2028,4.319999999999999
RE1,DEMDERHDG,2029,4.319999999999999
RE1,DEMDERHDG,2030,4.319999999999999
RE1,DEMDERHDG,2031,4.319999999999999
RE1,DEMDERHDG,2032,4.319999999999999
RE1,DEMDERHDG,2033,4.319999999999999
RE1,DEMDERHDG,2034,4.319999999999999
RE1,DEMDERHDG,2035,7.105500477701998
RE1,DEMDERHDG,2036,7.142983037491346
RE1,DEMDERHDG,2037,7.16205307018922
RE1,DEMDERHDG,2038,7.201179576310896
RE1,DEMDERHDG,2039,7.222222381070829
RE1,DEMDERHDG,2040,7.265952009849559
RE1,DEMDERHDG,2041,7.318887847479124
RE1,DEMDERHDG,2042,7.34979451254936
RE1,DEMDERHDG,2043,7.426403541997118
RE1,DEMDERHDG,2044,7.527672131062464
RE1,DEMDERHDG,2045,7.582909530020558
RE1,DEMDERHDG,2046,7.678588592166189
RE1,DEMDERHDG,2047,9.603401928945464
RE1,DEMDERHDG,2048,9.658538145146212
RE1,DEMDERHDG,2049,9.764258110781263
RE1,DEMDERHDG,2050,9.859861315309988
RE1,DEMDERHDG,2051,9.859861315309988
RE1,DEMDERHDG,2052,9.859861315309988
RE1,DEMDERHDG,2053,9.859861315309988
RE1,DEMDERHDG,2054,9.859861315309988
RE1,DEMDERHDG,2055,9.859861315309988
RE1,DEMINDAUTBOI,2022,99999.0
RE1,DEMINDAUTBOI,2023,99999.0
RE1,DEMINDAUTBOI,2024,99999.0
RE1,DEMINDAUTBOI,2025,99999.0
RE1,DEMINDAUTBOI,2026,99999.0
RE1,DEMINDAUTBOI,2027,99999.0
