REGION,TECHNOLOGY,VALUE
RE1,DEMTERELCAIR_CEN_HIG,99999.0
RE1,DEMTERELCAIR_CEN_LOW,99999.0
RE1,DEMTERELCAIR_CEN_MID,99999.0
RE1,DEMTERELCAIR_SPL_HIG,99999.0
RE1,DEMTERELCAIR_SPL_LOW,99999.0
RE1,DEMTERELCAIR_SPL_MID,99999.0
RE1,DEMTERELCCKN_HIG,99999.0
RE1,DEMTERELCCKN_LOW,99999.0
RE1,DEMTERELCCKN_MID,99999.0
RE1,DEMTERELCDATA,99999.0
RE1,DEMTERELCFAN_HIG,99999.0
RE1,DEMTERELCFAN_LOW,99999.0
RE1,DEMTERELCFAN_MID,99999.0
RE1,DEMTERELCILU_CIA,99999.0
RE1,DEMTERELCILU_HAL,99999.0
RE1,DEMTERELCILU_HIG,99999.0
RE1,DEMTERELCILU_LFC,99999.0
RE1,DEMTERELCILU_LOW,99999.0
RE1,DEMTERELCILU_MID,99999.0
RE1,DEMTERELCILU_VAP,99999.0
RE1,DEMTERELCMPW_HIG,99999.0
RE1,DEMTERELCMPW_LOW,99999.0
RE1,DEMTERELCMPW_MID,99999.0
RE1,DEMTERELCOTH_HIG,99999.0
RE1,DEMTERELCOTH_LOW,99999.0
RE1,DEMTERELCOTH_MID,99999.0
RE1,DEMTERELCREF_AUC_HIG,99999.0
RE1,DEMTERELCREF_AUC_LOW,99999.0
RE1,DEMTERELCREF_AUC_MID,99999.0
RE1,DEMTERELCREF_CEN_HIG,99999.0
RE1,DEMTERELCREF_CEN_LOW,99999.0
RE1,DEMTERELCREF_CEN_MID,99999.0
RE1,DEMTERLPGCKN_HIG,99999.0
RE1,DEMTERLPGCKN_LOW,99999.0
RE1,DEMTERLPGCKN_MID,99999.0
RE1,DEMTERNGSCKN_HIG,99999.0
RE1,DEMTERNGSCKN_LOW,99999.0
RE1,DEMTRADSLBOT,99999.0
RE1,DEMTRADSLBUS_ART,99999.0
RE1,DEMTRADSLBUS_BIA,99999.0
RE1,DEMTRADSLBUS_IMU,99999.0
RE1,DEMTRADSLBUS_URB,99999.0
RE1,DEMTRADSLFWD,99999.0
RE1,DEMTRADSLLDV,99999.0
RE1,DEMTRADSLMIC,99999.0
RE1,DEMTRADSLSHP,99999.0
RE1,DEMTRADSLSTT,99999.0
RE1,DEMTRADSLTAX,99999.0
RE1,DEMTRADSLTCK_C2P,99999.0
RE1,DEMTRADSLTCK_CSG,99999.0
RE1,DEMTRAELCBOT,99999.0
RE1,DEMTRAELCBUS_ART,99999.0
RE1,DEMTRAELCBUS_BIA,99999.0
RE1,DEMTRAELCBUS_IMU,99999.0
RE1,DEMTRAELCBUS_URB,99999.0
RE1,DEMTRAELCFWD,99999.0
RE1,DEMTRAELCLDV,99999.0
RE1,DEMTRAELCMET,99999.0
RE1,DEMTRAELCMIC,99999.0
RE1,DEMTRAELCMOT,99999.0
RE1,DEMTRAELCSTT,99999.0
RE1,DEMTRAELCTAX,99999.0
RE1,DEMTRAELCTCK_C2P,99999.0
RE1,DEMTRAELCTCK_CSG,99999.0
RE1,DEMTRAFOLSHP,99999.0
RE1,DEMTRAGSLBOT,99999.0
RE1,DEMTRAGSLBUS_IMU,99999.0
RE1,DEMTRAGSLFWD,99999.0
RE1,DEMTRAGSLLDV,99999.0
RE1,DEMTRAGSLMIC,99999.0
RE1,DEMTRAGSLMOT,99999.0
RE1,DEMTRAGSLSTT,99999.0
RE1,DEMTRAGSLTAX,99999.0
RE1,DEMTRAGSLTCK_C2P,99999.0
RE1,DEMTRAHDGBUS_IMU,99999.0
RE1,DEMTRAHDGBUS_URB,99999.0
RE1,DEMTRAHDGFWD,99999.0
RE1,DEMTRAHDGLDV,99999.0
RE1,DEMTRAHDGMIC,99999.0
RE1,DEMTRAHDGSTT,99999.0
RE1,DEMTRAHDGTAX,99999.0
RE1,DEMTRAHDGTCK_CSG,99999.0
RE1,DEMTRAHEVFWD,99999.0
RE1,DEMTRAHEVLDV,99999.0
RE1,DEMTRAJETAVI,99999.0
RE1,DEMTRAJETSAFAVI,99999.0
RE1,DEMTRANGSBUS_ART,99999.0
RE1,DEMTRANGSBUS_BIA,99999.0
RE1,DEMTRANGSBUS_IMU,99999.0
RE1,DEMTRANGSBUS_URB,99999.0
RE1,DEMTRANGSFWD,99999.0
RE1,DEMTRANGSLDV,99999.0
RE1,DEMTRANGSMIC,99999.0
RE1,DEMTRANGSSTT,99999.0
RE1,DEMTRANGSTAX,99999.0
RE1,DEMTRANGSTCK_C2P,99999.0
RE1,DEMTRANGSTCK_CSG,99999.0
RE1,DEMTRAPHEVFWD,99999.0
RE1,DEMTRAPHEVLDV,99999.0
RE1,DEMTRAPHEVTAX,99999.0
RE1,EXPCOA,99999.0
RE1,EXPDSL,99999.0
RE1,EXPECU,99999.0
RE1,EXPGSL,99999.0
RE1,EXPJET,99999.0
RE1,EXPLPG,99999.0
RE1,EXPOIL_1LIV,99999.0
RE1,EXPOIL_2MID,99999.0
RE1,EXPOIL_3PES,99999.0
RE1,GRDCOADST,99999.0
RE1,GRDLPGDST,99999.0
RE1,GRDNGSDST,99999.0
RE1,GRDTYDELC,99999.0
RE1,GRDZNIELC,99999.0
RE1,IMPDSL,99999.0
RE1,IMPFOL,99999.0
RE1,IMPGSL,99999.0
RE1,IMPJET,99999.0
RE1,IMPLNG,99999.0
RE1,IMPLPG,99999.0
RE1,IMPOIL_1LIV,99999.0
RE1,IMPOIL_2MID,99999.0
RE1,IMPOIL_3PES,99999.0
RE1,IMPURN,33880.0
RE1,MINAFR,99999.0
RE1,MINBAG,99999.0
RE1,MINCOA,122958.0
RE1,MINCSP,99999.0
RE1,MINDAM,99999.0
RE1,MINGEO,99999.0
RE1,MINNGS,3223.516600039093
RE1,MINOFW_FIX,99999.0
RE1,MINOFW_FLO,99999.0
RE1,MINOIL_1LIV,1338.792736415495
RE1,MINOIL_2MID,5156.685467535341
RE1,MINOIL_3PES,12747.42384466319
RE1,MINONW,99999.0
RE1,MINOPL,99999.0
RE1,MINROR,99999.0
RE1,MINSGC,99999.0
RE1,MINSOL,99999.0
RE1,MINSOL_RTP,99999.0
RE1,MINWAS,99999.0
